Symbol,Company Name,Industry,Market Cap
BFI,"BurgerFi International, Inc.",Restaurants,10.58M
BFIN,BankFinancial Corporation,Banks - Regional,124.98M
BFLY,"Butterfly Network, Inc.",Medical Devices,204.34M
BFRG,"Bullfrog AI Holdings, Inc.",Health Information Services,22.69M
BFRI,Biofrontera Inc.,Drug Manufacturers - Specialty & Generic,6.34M
BFS,"Saul Centers, Inc.",REIT - Retail,884.09M
BFST,"Business First Bancshares, Inc.",Banks - Regional,538.50M
BG,Bunge Limited,Farm Products,14.87B
BGC,"BGC Group, Inc",Capital Markets,4.34B
BGFV,Big 5 Sporting Goods Corporation,Specialty Retail,76.47M
BGI,Birks Group Inc.,Luxury Goods,44.37M
BGNE,"BeiGene, Ltd.",Biotechnology,16.63B
BGS,"B&G Foods, Inc.",Packaged Foods,628.06M
BGSF,"BGSF, Inc.",Staffing & Employment Services,81.80M
BGXX,Bright Green Corporation,Drug Manufacturers - Specialty & Generic,41.63M
BH,Biglari Holdings Inc.,Restaurants,644.11M
BH.A,Biglari Holdings Inc.,Restaurants,654.46M
BHAC,Focus Impact BH3 Acquisition Co.,Shell Companies,85.19M
BHAT,Blue Hat Interactive Entertainment Technology,Electronic Gaming & Multimedia,10.44M
BHB,Bar Harbor Bankshares,Banks - Regional,400.20M
BHC,Bausch Health Companies Inc.,Drug Manufacturers - Specialty & Generic,2.52B
BHE,"Benchmark Electronics, Inc.",Electronic Components,1.42B
BHF,"Brighthouse Financial, Inc.",Insurance - Life,2.89B
BHIL,"Benson Hill, Inc.",Agricultural Inputs,42.02M
BHLB,"Berkshire Hills Bancorp, Inc.",Banks - Regional,997.05M
BHM,"Bluerock Homes Trust, Inc.",REIT - Residential,68.40M
BHP,BHP Group Limited,Other Industrial Metals & Mining,144.87B
BHR,Braemar Hotels & Resorts Inc.,REIT - Hotel & Motel,185.47M
BHRB,Burke & Herbert Bank & Trust Company,Banks - Regional,738.09M
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Biotechnology,2.97B
BIAF,"bioAffinity Technologies, Inc.",Diagnostics & Research,23.14M
BIDU,"Baidu, Inc.",Internet Content & Information,38.69B
